id	segment	lat	lng
1	1	49.60999	6.129630000000001
1	2	49.609680000000004	6.1296100000000004
1	3	49.60960000000001	6.12959
1	4	49.609570000000005	6.12976
1	5	49.609480000000005	6.13013
1	6	49.608760000000004	6.13175
1	7	49.60857000000001	6.132090000000001
1	8	49.60848000000001	6.1322
1	9	49.608070000000005	6.13257
1	10	49.607530000000004	6.133000000000001
1	11	49.607330000000005	6.13318
1	12	49.60727000000001	6.13323
1	13	49.60725	6.133290000000001
1	14	49.607240000000004	6.133330000000001
1	15	49.6073	6.133470000000001
1	16	49.60737	6.133430000000001
1	17	49.60786	6.13313
1	18	49.60810000000001	6.132980000000001
1	19	49.60850000000001	6.132750000000001
1	20	49.60886000000001	6.1325400000000005
1	21	49.609140000000004	6.132440000000001
1	22	49.60927	6.132420000000001
1	23	49.609640000000006	6.13245
1	24	49.60992	6.132560000000001
1	25	49.61009000000001	6.1326600000000004
1	26	49.610440000000004	6.13292
1	27	49.610890000000005	6.133240000000001
1	28	49.611050000000006	6.133330000000001
1	29	49.611250000000005	6.133380000000001
1	30	49.611380000000004	6.1334100000000005
1	31	49.611650000000004	6.133430000000001
1	32	49.61195000000001	6.133360000000001
1	33	49.612320000000004	6.13318
1	34	49.61262000000001	6.132980000000001
1	35	49.61301	6.13267
1	36	49.61332	6.13238
1	37	49.61356000000001	6.132110000000001
1	38	49.613870000000006	6.13166
1	39	49.614050000000006	6.131380000000001
1	40	49.61455	6.130730000000001
1	41	49.61468000000001	6.1306
1	42	49.61488000000001	6.130310000000001
1	43	49.614940000000004	6.1302
1	44	49.61544000000001	6.1298900000000005
1	45	49.61572	6.129740000000001
1	46	49.61600000000001	6.12964
1	47	49.61623	6.12959
1	48	49.61647000000001	6.129580000000001
1	49	49.61674000000001	6.1296100000000004
1	50	49.617230000000006	6.129700000000001
1	51	49.61739000000001	6.1297500000000005
1	52	49.61751	6.12978
1	53	49.618030000000005	6.129930000000001
1	54	49.61929000000001	6.13023
1	55	49.619670000000006	6.13034
1	56	49.619780000000006	6.130350000000001
1	57	49.61999	6.13034
1	58	49.62046	6.13032
1	59	49.62303000000001	6.130350000000001
1	60	49.623740000000005	6.13034
1	61	49.624810000000004	6.1302200000000004
1	62	49.625730000000004	6.13008
1	63	49.625800000000005	6.130090000000001
1	64	49.62621000000001	6.1300300000000005
1	65	49.62668000000001	6.129950000000001
1	66	49.62713	6.129930000000001
1	67	49.62749	6.129950000000001
1	68	49.62764000000001	6.130000000000001
1	69	49.627900000000004	6.13018
1	70	49.628400000000006	6.130700000000001
1	71	49.62847000000001	6.130770000000001
1	72	49.628530000000005	6.13074
1	73	49.62881	6.130940000000001
1	74	49.62894000000001	6.13107
1	75	49.629200000000004	6.13135
1	76	49.62941000000001	6.131620000000001
1	77	49.629870000000004	6.132230000000001
1	78	49.630320000000005	6.132720000000001
1	79	49.63074	6.133170000000001
1	80	49.630860000000006	6.1333400000000005
1	81	49.63136	6.1341
1	82	49.6321	6.135020000000001
1	83	49.63228	6.135260000000001
1	84	49.632380000000005	6.13536
1	85	49.63251	6.1354500000000005
1	86	49.632630000000006	6.135510000000001
1	87	49.63275	6.135540000000001
1	88	49.632920000000006	6.135540000000001
1	89	49.63315	6.1355200000000005
1	90	49.633190000000006	6.135510000000001
1	91	49.63327	6.13546
1	92	49.63344000000001	6.13543
1	93	49.63358	6.1353800000000005
1	94	49.63378	6.135260000000001
1	95	49.63658	6.133120000000001
1	96	49.63815	6.13203
1	97	49.63889	6.131600000000001
1	98	49.64038000000001	6.1309000000000005
1	99	49.640710000000006	6.13194
1	100	49.641200000000005	6.133430000000001
1	101	49.641380000000005	6.1340200000000005
1	102	49.641450000000006	6.134430000000001
1	103	49.641560000000005	6.13515
1	104	49.64175	6.13506
1	105	49.643100000000004	6.134830000000001
1	106	49.64417	6.134620000000001
1	107	49.64585	6.13428
1	108	49.646820000000005	6.134130000000001
1	109	49.647420000000004	6.13412
1	110	49.647960000000005	6.134200000000001
1	111	49.649080000000005	6.134410000000001
1	112	49.649530000000006	6.1345
1	113	49.65012	6.134580000000001
1	114	49.65037	6.13454
1	115	49.65054000000001	6.134460000000001
1	116	49.65072000000001	6.13431
1	117	49.65082	6.134200000000001
1	118	49.65097	6.133990000000001
1	119	49.6512	6.13363
1	120	49.651410000000006	6.13342
1	121	49.651900000000005	6.13318
1	122	49.65265	6.13295
1	123	49.65279	6.13299
1	124	49.653000000000006	6.132860000000001
1	125	49.653200000000005	6.13278
1	126	49.655240000000006	6.132250000000001
1	127	49.655710000000006	6.132180000000001
1	128	49.65616000000001	6.13217
1	129	49.65713	6.13224
1	130	49.657560000000004	6.132280000000001
1	131	49.658	6.13238
1	132	49.65861	6.13252
